temperature,logloss,accuracy,brier
0.5,1.0299229077108316,0.5287769784172662,0.6185194298129989
0.55,1.035140280863325,0.5287769784172662,0.6223198282934193
0.6,1.0396475266870033,0.5287769784172662,0.6255878976370575
0.65,1.043574206771568,0.5287769784172662,0.6284226995273337
0.7,1.047022021309972,0.5287769784172662,0.6309017771964561
0.75,1.050071241922121,0.5287769784172662,0.633086104024385
0.8,1.0527857345085812,0.5287769784172662,0.6350239874093346
0.85,1.055216765722061,0.5287769784172662,0.636754036265525
0.9,1.057405862068809,0.5287769784172662,0.6383073892093957
0.95,1.0593869584672138,0.5287769784172662,0.6397093855162949
1.0,1.0611880209169713,0.5287769784172662,0.6409808232882226
1.05,1.0628322808106,0.5287769784172662,0.6421389131506168
1.1,1.0643391815248133,0.5287769784172662,0.6431980069076886
1.15,1.0657251105661902,0.5287769784172662,0.6441701589708781
1.2,1.0670039706970709,0.5287769784172662,0.6450655626431896
1.25,1.0681876291813677,0.5287769784172662,0.6458928920126519
1.3,1.0692862740121283,0.5287769784172662,0.646659572065792
1.35,1.0703086985629047,0.5287769784172662,0.6473719937654288
1.4,1.0712625307183807,0.5287769784172662,0.6480356865888275
1.45,1.0721544186024656,0.5287769784172662,0.6486554579259913
1.5,1.0729901821228764,0.5287769784172662,0.6492355064648813
1.55,1.0737749374000383,0.5287769784172662,0.6497795150091497
1.6,1.0745131995396051,0.5287769784172662,0.650290726920891
1.65,1.0752089679960162,0.5287769784172662,0.6507720094398249
1.7,1.0758657978546107,0.5287769784172662,0.6512259064182513
1.75,1.0764868596565285,0.5287769784172662,0.651654682468389
1.8,1.077074989849183,0.5287769784172662,0.6520603601021454
1.85,1.077632733525411,0.5287769784172662,0.6524447511214481
1.9,1.0781623807870448,0.5287769784172662,0.6528094832668693
1.95,1.078665997811678,0.5287769784172662,0.6531560229362802
2.0,1.0791454534984914,0.5287769784172662,0.6534856946309239
2.05,1.079602442407888,0.5287769784172662,0.6537996976640599
2.1,1.0800385045810161,0.5287769784172662,0.6540991205699652
2.15,1.0804550427220037,0.5287769784172662,0.6543849535731298
2.2,1.0808533371424298,0.5287769784172662,0.6546580994147457
2.25,1.0812345588000223,0.5287769784172662,0.65491938278286
2.3,1.0815997807085982,0.5287769784172662,0.6551695585513302
2.35,1.0819499879512804,0.5287769784172662,0.6554093189990902
2.4,1.0822860864920882,0.5287769784172662,0.6556393001536405
2.45,1.0826089109505195,0.5287769784172662,0.655860087379988
2.5,1.0829192314785232,0.5287769784172662,0.6560722203174927
2.55,1.0832177598582788,0.5287769784172662,0.656276197251516
2.6,1.0835051549217112,0.5287769784172662,0.6564724789938102
2.65,1.0837820273780279,0.5287769784172662,0.656661492334752
2.7,1.084048944123255,0.5287769784172662,0.6568436331214482
2.75,1.084306432095395,0.5287769784172662,0.6570192690080996
2.8,1.0845549817300544,0.5287769784172662,0.6571887419185621
2.85,1.0847950500639725,0.5287769784172662,0.6573523702555856
2.9,1.085027063527552,0.5287769784172662,0.6575104508865761
2.95,1.0852514204621153,0.5287769784172662,0.6576632609317842
3.0,1.0854684933929932,0.5287769784172662,0.6578110593774452
